location,latitude,longitude,severity,incidents,description,accident_type,peak_hours,road_condition,weather_factor,nearest_node
Silk Board Junction,12.9177,77.6233,high,42,Heavy traffic congestion with poor lane discipline,Vehicle Collision,Morning/Evening,Good,No,13748051108
KR Puram Bridge,13.0054,77.6714,high,38,Narrow bridge with heavy vehicle movement,Vehicle Collision,Evening,Fair,No,10081327955
Hebbal Flyover,13.0358,77.5946,high,35,Complex junction with multiple entry/exit points,Vehicle Collision,Morning,Good,No,9189026913
Marathahalli Bridge,12.9591,77.6974,medium,25,Poor road conditions and inadequate lighting,Vehicle Collision,Evening,Poor,Yes,10089237212
Bannerghatta Road,12.8933,77.597,medium,28,Narrow roads with heavy traffic,Vehicle Collision,Evening,Fair,No,7287842864
Tin Factory,12.9984,77.661,high,32,Chaotic traffic with poor signal management,Vehicle Collision,Morning/Evening,Fair,No,1837722585
Mekhri Circle,13.0152,77.5843,medium,22,Roundabout with poor lane markings,Vehicle Collision,Evening,Good,No,850854718
Yeshwanthpur Junction,13.0204,77.5563,medium,24,Railway crossing nearby with heavy commercial vehicles,Vehicle Collision,Afternoon,Good,No,463680908
Jayadeva Flyover,12.9227,77.6127,high,30,Construction work causing diversions,Vehicle Collision,Morning,Fair,No,10997018488
Electronic City Flyover,12.844,77.6608,medium,26,High-speed corridor with inadequate safety barriers,Vehicle Collision,Morning,Good,No,7484941125
Whitefield Main Road,12.9698,77.7499,medium,23,IT corridor with high traffic during peak hours,Vehicle Collision,Morning/Evening,Good,No,331147702
Mysore Road,12.9456,77.5336,high,33,Highway entry point with poor traffic management,Vehicle Collision,Evening,Fair,No,13266504810
Old Madras Road,13.0098,77.6406,medium,27,Narrow sections with heavy vehicle movement,Vehicle Collision,Afternoon,Fair,No,1799352641
Tumkur Road,13.0158,77.5362,high,31,Highway with inadequate pedestrian crossings,Pedestrian Accident,Evening,Good,No,10038593858
Hosur Road,12.8489,77.627,high,36,Industrial area with heavy truck movement,Vehicle Collision,Morning,Fair,No,14172803269
Outer Ring Road (Bellandur),12.9254,77.677,high,34,IT corridor with multiple junctions,Vehicle Collision,Morning/Evening,Good,No,13343872440
Old Airport Road,12.9609,77.6487,medium,29,Poor road maintenance and potholes,Two-wheeler Accident,Evening,Poor,Yes,3780767746
Kanakapura Road,12.8981,77.5673,medium,24,Narrow road with increasing traffic volume,Vehicle Collision,Evening,Fair,No,7291452507
Bellary Road,13.0622,77.5963,high,37,Airport route with high-speed traffic,Vehicle Collision,Morning/Night,Good,No,9184294171
Richmond Road,12.9667,77.6099,medium,21,Narrow road with poor visibility at night,Vehicle Collision,Night,Fair,No,263155261
MG Road,12.9758,77.6096,medium,19,High pedestrian movement with busy traffic,Pedestrian Accident,Evening,Good,No,334473795
Indiranagar 100ft Road,12.9784,77.6408,medium,22,Commercial area with high vehicle density,Two-wheeler Accident,Evening,Good,No,11187974841
Koramangala Inner Ring Road,12.9316,77.6246,high,31,Multiple intersections with poor signal timing,Vehicle Collision,Evening,Good,No,6144129431
Sarjapur Road,12.9102,77.687,high,33,Narrow road with heavy construction activity,Vehicle Collision,Morning/Evening,Poor,Yes,2099691661
Cunningham Road,12.9884,77.5932,medium,18,Busy commercial area with inadequate parking,Vehicle Collision,Afternoon,Good,No,12148059333
Airport Road Toll,13.0701,77.6196,high,29,High-speed zone with merging traffic,Vehicle Collision,Morning/Night,Good,No,12698130242
Domlur Flyover,12.9614,77.6368,medium,24,Sharp curves with inadequate warning signs,Two-wheeler Accident,Evening,Good,No,315601605
Basavanagudi,12.9422,77.5738,medium,20,Residential area with narrow lanes,Two-wheeler Accident,Morning,Fair,No,1837412280
Majestic Area,12.9766,77.5713,high,35,High pedestrian and vehicle movement,Pedestrian Accident,All Day,Fair,No,12430010318
Ulsoor Lake Road,12.9825,77.6258,medium,23,Recreational area with weekend congestion,Vehicle Collision,Weekend,Good,No,2228386608
Malleshwaram 18th Cross,13.0064,77.5643,medium,21,Market area with mixed traffic,Two-wheeler Accident,Morning,Fair,No,12289606135
Vijayanagar Main Road,12.9647,77.5328,medium,25,Residential area with school zones,Vehicle Collision,Morning,Good,No,1512686587
JP Nagar Ring Road Junction,12.9073,77.5831,high,32,Complex junction with multiple signals,Vehicle Collision,Evening,Good,No,362424222
Peenya Industrial Area,13.0279,77.5362,high,34,Industrial zone with heavy vehicles,Vehicle Collision,Morning,Fair,No,463392814
Jalahalli Cross,13.0507,77.5492,medium,26,Residential area with poor road conditions,Two-wheeler Accident,Evening,Poor,Yes,11932512964
Hennur Main Road,13.0307,77.6376,high,30,Narrow road with heavy traffic,Vehicle Collision,Evening,Fair,No,7380160851
Nagawara Junction,13.0407,77.621,high,31,Complex intersection with poor visibility,Vehicle Collision,Evening,Fair,No,1789912219
Banaswadi Main Road,13.0118,77.6462,medium,24,Residential area with inadequate signals,Vehicle Collision,Morning,Good,No,343308103
Kalyan Nagar Ring Road,13.0279,77.64,medium,27,Fast-moving traffic with residential exits,Vehicle Collision,Evening,Good,No,7380160848
BTM Layout,12.9166,77.6101,high,33,Densely populated with narrow roads,Two-wheeler Accident,Evening,Fair,No,10123822801
